idCommune;nomCommune;Annee;nbMaison;nbAppart;prixMoyen;prixM2Moyen;surfaceMoy;depCulturellesTotales;budgetTotal;population;departement;gare
22040;COADOUT;2021;12;0;129507.0;1320.08;95.25;-1.0;-1.0;-1;22;null;
22041;COATASCORN;2018;3;0;181333.0;1192.67;151.0;-1.0;-1.0;-1;22;null;
22041;COATASCORN;2019;2;0;127500.0;1244.5;100.0;-1.0;-1.0;-1;22;null;
22041;COATASCORN;2020;4;0;111500.0;1098.0;93.0;-1.0;-1.0;-1;22;null;
22041;COATASCORN;2021;5;0;155000.0;1342.6;118.8;-1.0;-1.0;-1;22;null;
22042;COATREVEN;2018;9;0;124928.0;1270.44;96.3333;-1.0;-1.0;-1;22;null;
22042;COATREVEN;2019;12;0;123500.0;1204.25;111.667;-1.0;-1.0;-1;22;null;
22042;COATREVEN;2020;4;0;116000.0;1145.0;104.5;-1.0;-1.0;-1;22;null;
22042;COATREVEN;2021;8;0;214045.0;1748.38;118.75;-1.0;-1.0;-1;22;null;
22043;COETLOGON;2018;3;0;81333.3;814.0;98.3333;-1.0;-1.0;-1;22;null;
22043;COETLOGON;2019;3;0;147965.0;1047.0;136.333;-1.0;-1.0;-1;22;null;
22043;COETLOGON;2020;6;0;58250.0;771.667;72.6667;-1.0;-1.0;-1;22;null;
22043;COETLOGON;2021;5;0;122800.0;981.6;128.4;-1.0;-1.0;-1;22;null;
22044;COETMIEUX;2018;21;0;170838.0;1564.24;108.381;-1.0;-1.0;-1;22;null;
22044;COETMIEUX;2019;18;0;147652.0;1556.33;96.7778;-1.0;-1.0;-1;22;null;
22044;COETMIEUX;2020;21;0;184926.0;1681.14;108.095;-1.0;-1.0;-1;22;null;
22044;COETMIEUX;2021;15;0;224617.0;2075.6;107.867;-1.0;-1.0;-1;22;null;
22045;COHINIAC;2018;5;0;95620.0;1087.4;82.6;-1.0;-1.0;-1;22;null;
22045;COHINIAC;2019;4;0;113500.0;1125.0;98.75;-1.0;-1.0;-1;22;null;
22045;COHINIAC;2020;2;0;100000.0;1423.5;84.0;-1.0;-1.0;-1;22;null;
22045;COHINIAC;2021;10;0;136650.0;1493.6;87.2;-1.0;-1.0;-1;22;null;
22046;LE MENE;2018;101;0;93320.6;974.663;96.3663;-1.0;-1.0;-1;22;null;
22046;LE MENE;2019;91;1;90092.0;957.022;100.337;293.0;11133.0;6406;22;null;
22046;LE MENE;2020;113;2;85855.2;899.217;97.5739;232.0;0.0;6522;22;null;
22046;LE MENE;2021;144;1;109432.0;1059.65;107.221;-1.0;-1.0;-1;22;null;
22047;CORLAY;2018;10;0;73810.0;833.4;91.1;-1.0;-1.0;-1;22;null;
22047;CORLAY;2019;20;0;83747.5;846.65;102.7;-1.0;-1.0;-1;22;null;
22047;CORLAY;2020;30;0;73703.3;819.767;87.8667;-1.0;-1.0;-1;22;null;
22047;CORLAY;2021;38;0;101618.0;1135.76;92.9474;-1.0;-1.0;-1;22;null;
22048;CORSEUL;2018;33;0;150692.0;1433.73;109.909;-1.0;-1.0;-1;22;null;
22048;CORSEUL;2019;33;0;169050.0;1507.42;114.697;-1.0;-1.0;-1;22;null;
22048;CORSEUL;2020;41;0;169747.0;1649.0;107.634;-1.0;-1.0;-1;22;null;
22048;CORSEUL;2021;49;0;194949.0;1763.71;112.184;-1.0;-1.0;-1;22;null;
22049;CREHEN;2018;19;0;167584.0;1576.68;110.842;-1.0;-1.0;-1;22;null;
22049;CREHEN;2019;22;0;169233.0;1682.18;102.318;-1.0;-1.0;-1;22;null;
22049;CREHEN;2020;21;0;195324.0;1932.57;105.619;-1.0;-1.0;-1;22;null;
22049;CREHEN;2021;41;0;224036.0;2125.95;106.195;-1.0;-1.0;-1;22;null;
22050;DINAN;2018;126;134;168069.0;1975.29;84.2192;-1.0;-1.0;-1;22;Gare [codeGare=87478164, nomGare=DINAN, estFret=false, estVoyageur=truecommune22050];
22050;DINAN;2019;175;150;187332.0;2016.8;93.3785;2959.0;22398.0;14281;22;Gare [codeGare=87478164, nomGare=DINAN, estFret=false, estVoyageur=truecommune22050];
22050;DINAN;2020;150;198;184052.0;2149.43;86.0862;1831.0;0.0;14867;22;Gare [codeGare=87478164, nomGare=DINAN, estFret=false, estVoyageur=truecommune22050];
22050;DINAN;2021;127;210;191514.0;2451.57;78.7834;-1.0;-1.0;-1;22;Gare [codeGare=87478164, nomGare=DINAN, estFret=false, estVoyageur=truecommune22050];
22052;DUAULT;2018;15;0;69653.3;943.933;82.3333;-1.0;-1.0;-1;22;Gare [codeGare=87473553, nomGare=LE PENITY, estFret=false, estVoyageur=truecommune22052];
22052;DUAULT;2019;5;0;51000.0;721.0;69.6;-1.0;-1.0;-1;22;Gare [codeGare=87473553, nomGare=LE PENITY, estFret=false, estVoyageur=truecommune22052];
22052;DUAULT;2020;7;0;118705.0;1130.57;98.2857;-1.0;-1.0;-1;22;Gare [codeGare=87473553, nomGare=LE PENITY, estFret=false, estVoyageur=truecommune22052];
22052;DUAULT;2021;11;0;78478.6;1150.73;83.6364;-1.0;-1.0;-1;22;Gare [codeGare=87473553, nomGare=LE PENITY, estFret=false, estVoyageur=truecommune22052];
22053;EREAC;2018;9;0;76007.2;951.444;80.8889;-1.0;-1.0;-1;22;null;
22053;EREAC;2019;7;0;88071.4;807.857;106.0;-1.0;-1.0;-1;22;null;
22053;EREAC;2020;11;0;95272.7;920.818;109.273;-1.0;-1.0;-1;22;null;
22053;EREAC;2021;15;0;94896.0;1354.33;80.5333;-1.0;-1.0;-1;22;null;
22054;ERQUY;2018;62;35;200927.0;2328.93;88.3814;-1.0;-1.0;-1;22;null;
22054;ERQUY;2019;86;45;210040.0;2546.61;86.7252;182.0;5874.0;3916;22;null;
22054;ERQUY;2020;80;43;254307.0;2848.83;93.9024;557.0;0.0;4008;22;null;
22054;ERQUY;2021;92;30;257436.0;3291.66;85.3115;-1.0;-1.0;-1;22;null;
22055;BINIC-ETABLES-SUR-MER;2018;104;27;185309.0;2183.95;91.1221;-1.0;-1.0;-1;22;null;
22055;BINIC-ETABLES-SUR-MER;2019;140;32;209630.0;2378.28;93.2791;288.0;9071.0;7006;22;null;
22055;BINIC-ETABLES-SUR-MER;2020;133;27;230501.0;2497.19;98.3063;446.0;0.0;7223;22;null;
22055;BINIC-ETABLES-SUR-MER;2021;138;32;254733.0;2792.36;93.1059;-1.0;-1.0;-1;22;null;
22056;EVRAN;2018;20;0;133410.0;1295.75;103.4;-1.0;-1.0;-1;22;null;
22056;EVRAN;2019;20;0;132434.0;1472.05;91.2;-1.0;-1.0;-1;22;null;
22056;EVRAN;2020;25;0;160220.0;1522.96;108.08;-1.0;-1.0;-1;22;null;
22056;EVRAN;2021;28;0;140680.0;1485.04;93.5;-1.0;-1.0;-1;22;null;
22057;LE FAOUET;2018;7;0;92242.9;1159.43;82.1429;-1.0;-1.0;-1;22;null;
22057;LE FAOUET;2019;5;0;131600.0;1310.2;103.2;-1.0;-1.0;-1;22;null;
22057;LE FAOUET;2020;8;0;126528.0;1430.75;91.5;-1.0;-1.0;-1;22;null;
22057;LE FAOUET;2021;6;0;166500.0;1750.67;96.3333;-1.0;-1.0;-1;22;null;
22059;LE FŒIL;2018;12;0;158552.0;1374.33;118.5;-1.0;-1.0;-1;22;null;
22059;LE FŒIL;2019;13;0;138876.0;1270.46;115.0;-1.0;-1.0;-1;22;null;
22059;LE FŒIL;2020;10;0;165550.0;1409.7;115.1;-1.0;-1.0;-1;22;null;
